,date,bithumb,coinone,korbit,upbit,gopax
0,2013-12-27,2726,0,0,0,0
1,2013-12-28,8565,0,0,0,0
2,2013-12-29,13880,0,0,0,0
3,2013-12-30,6878,0,0,0,0
4,2013-12-31,21852,0,0,0,0
5,2014-01-01,46246,0,0,0,0
6,2014-01-02,93761,0,0,0,0
7,2014-01-03,66997,0,0,0,0
8,2014-01-04,107476,0,0,0,0
9,2014-01-05,163083,0,0,0,0
10,2014-01-06,152517,0,0,0,0
11,2014-01-07,189988,0,0,0,0
12,2014-01-08,117840,0,0,0,0
13,2014-01-09,110002,0,0,0,0
14,2014-01-10,120852,0,0,0,0
15,2014-01-11,108009,0,0,0,0
16,2014-01-12,90998,0,0,0,0
17,2014-01-13,117322,0,0,0,0
18,2014-01-14,92011,0,0,0,0
19,2014-01-15,107915,0,0,0,0
20,2014-01-16,189427,0,0,0,0
21,2014-01-17,165256,0,0,0,0
22,2014-01-18,116784,0,0,0,0
23,2014-01-19,124359,0,0,0,0
24,2014-01-20,156890,0,0,0,0
25,2014-01-21,198571,0,0,0,0
26,2014-01-22,183198,0,0,0,0
27,2014-01-23,167046,0,0,0,0
28,2014-01-24,283014,0,0,0,0
29,2014-01-25,201611,0,0,0,0
30,2014-01-26,195144,0,0,0,0
31,2014-01-27,193720,0,0,0,0
32,2014-01-28,154312,0,0,0,0
33,2014-01-29,77541,0,0,0,0
34,2014-01-30,134056,0,0,0,0
35,2014-01-31,56888,0,0,0,0
36,2014-02-01,159821,0,0,0,0
37,2014-02-02,147650,0,0,0,0
38,2014-02-03,172403,0,0,0,0
39,2014-02-04,102861,0,0,0,0
40,2014-02-05,105695,0,0,0,0
41,2014-02-06,204739,0,0,0,0
42,2014-02-07,395829,0,0,0,0
43,2014-02-08,154219,0,0,0,0
44,2014-02-09,164209,0,0,0,0
45,2014-02-10,492671,0,0,0,0
46,2014-02-11,289808,0,0,0,0
47,2014-02-12,207328,0,0,0,0
48,2014-02-13,187557,0,0,0,0
49,2014-02-14,401108,0,0,0,0
50,2014-02-15,142995,0,0,0,0
51,2014-02-16,119320,0,0,0,0
52,2014-02-17,225819,0,0,0,0
53,2014-02-18,150604,0,0,0,0
54,2014-02-19,139664,0,0,0,0
55,2014-02-20,208341,0,0,0,0
56,2014-02-21,292006,0,0,0,0
57,2014-02-22,108176,0,0,0,0
58,2014-02-23,138862,0,0,0,0
59,2014-02-24,214342,0,0,0,0
60,2014-02-25,436504,0,0,0,0
61,2014-02-26,225788,0,0,0,0
62,2014-02-27,110993,0,0,0,0
63,2014-02-28,109269,0,0,0,0
64,2014-03-01,47286,0,0,0,0
65,2014-03-02,19200,0,0,0,0
66,2014-03-03,260312,0,0,0,0
67,2014-03-04,323129,0,0,0,0
68,2014-03-05,171024,0,0,0,0
69,2014-03-06,176165,0,0,0,0
70,2014-03-07,205150,0,0,0,0
71,2014-03-08,93363,0,0,0,0
72,2014-03-09,96886,0,0,0,0
73,2014-03-10,105103,0,0,0,0
74,2014-03-11,164046,0,0,0,0
75,2014-03-12,213600,0,0,0,0
76,2014-03-13,132111,0,0,0,0
77,2014-03-14,174887,0,0,0,0
78,2014-03-15,61740,0,0,0,0
79,2014-03-16,62168,0,0,0,0
80,2014-03-17,176716,0,0,0,0
81,2014-03-18,151965,0,0,0,0
82,2014-03-19,126819,0,0,0,0
83,2014-03-20,187845,0,0,0,0
84,2014-03-21,279273,0,0,0,0
85,2014-03-22,135883,0,0,0,0
86,2014-03-23,48443,0,0,0,0
87,2014-03-24,259900,0,0,0,0
88,2014-03-25,195695,0,0,0,0
89,2014-03-26,281907,0,0,0,0
90,2014-03-27,406830,0,0,0,0
91,2014-03-28,324134,0,0,0,0
92,2014-03-29,84958,0,0,0,0
93,2014-03-30,175311,0,0,0,0
94,2014-03-31,215461,0,0,0,0
95,2014-04-01,175284,0,0,0,0
96,2014-04-02,168586,0,0,0,0
97,2014-04-03,230475,0,0,0,0
98,2014-04-04,105591,0,0,0,0
99,2014-04-05,65221,0,0,0,0
100,2014-04-06,100246,0,0,0,0
101,2014-04-07,79023,0,0,0,0
